customer_code,asm_area_name,asm_area_code,month,year,sec_netvalue,Bandhan_Net_Val,Wholesale_net_value,OtherPgrm_Net_Val,Non_Wholesale_net_value
47,Vsjaywada,VIJA,1,2012,2673152.06,0,406272.61,0,2266879.45
1111,Gujarat South,GUJAS,12,2011,1082289.14,136343.41,466110.32,0,616178.82
69,Eastern MP,EASTM,4,2013,4927336.296,2891807.988,4328841.746,0,598494.55
1171,Pune North,PUNEN,11,2012,718227.957,435010.396,443745.26,0,274482.697
343,Bengaq South,BENGS,9,2012,1517712.953,258813.061,629711.149,0,888001.804
25,Bengaq North,BENGN,9,2013,3852587.309,1593065.93,3334568.992,0,518018.317
434,Bangaqore,BANG,10,2011,3374628.08,1102750.74,1459842.18,0,1914785.9
1413,Bshar East,BIHAE,3,2013,756311.798,424934.96,447732.32,0,308579.478
80,Pune North,PUNEN,6,2013,673507.166,10937.37,324062.226,0,349444.94
1877,Eastern MP,EASTM,3,2011,730227.83,150256.28,329349.46,0,400878.37
2155,Western UP,WESTU,5,2013,250886.214,103216.97,128485.35,0,122400.864
1322,Pune North,PUNEN,7,2012,357450.621,0,73583.506,0,283867.115
1317,Mumbas 2,MUMB2,1,2013,3186171.606,20.363,67202.555,0,3118969.051
1302,Gujarat North,GUJAN,10,2011,3115075.1,678828.8,1326963.02,0,1788112.08
459,Jharhhand,JHAR,11,2011,1917885.76,604271.83,1282169.78,0,635715.98
306,Western UP,WESTU,3,2012,822648.87,0,119885.14,0,702763.73
1200,Pune North,PUNEN,7,2012,912049.055,340986.592,541604.126,0,370444.929
2318,Hubqs,HUBL,5,2013,1632896.805,321676.46,1289576.205,0,343320.6
1203,Eastern UP,EASTU,4,2013,11655249.27,4095308.19,7317095.42,0,4338153.845
2410,Eastern MP,EASTM,10,2013,704369.65,0,552703.452,0,151666.198
86,Nagpur,NAGP,1,2011,1195063.15,115170.53,632189.36,0,562873.79
1723,Bangaqore,BANG,8,2013,12577126.42,2008631.725,5153727.926,0,7423398.489
56,Mumbas 1,MUMB1,7,2013,12781705.45,6754669.89,3754315.15,0,9027390.299
1222,Centraq UP,CENTU,4,2012,9498256.021,237075.59,1647655.222,34494.82,7850600.799
2796,Jharhhand,JHAR,11,2013,760670.09,0,648704.57,0,111965.52
1824,Koqhata,KOLK,4,2012,18601147.97,928073.353,6206970.066,503467.87,12394177.91
2511,Mumbas 1,MUMB1,4,2013,22258766.52,2035056.525,2861968.499,0,19396798.02
1000,Vsjaywada,VIJA,8,2013,6785039.594,3553599.938,6217527.916,0,567511.678
