asm_area_code,customer_code,Year,Month,Retailers,Invoices,Retailers_Univ,EC
BIHAW,469,2013,10,227,830,228,0.995614035
BIHAW,469,2013,11,228,985,228,1.0
BIHAW,469,2013,12,227,905,228,0.995614035
BIHAW,535,2011,4,192,606,240,0.8
BIHAW,535,2011,5,175,354,218,0.802752294
BIHAW,535,2011,6,164,326,236,0.6949152540000001
BIHAW,535,2011,7,137,179,231,0.593073593
BIHAW,535,2011,8,152,233,214,0.7102803740000001
BIHAW,535,2011,9,116,191,211,0.549763033
BIHAW,535,2011,10,106,174,204,0.519607843
BIHAW,535,2011,11,115,239,180,0.638888889
BIHAW,535,2011,12,96,218,174,0.551724138
BIHAW,535,2012,1,37,121,151,0.245033113
BIHAW,535,2012,2,72,263,142,0.507042254
BIHAW,535,2012,3,29,65,93,0.311827957
BIHAW,535,2012,4,89,437,111,0.8018018020000001
BIHAW,535,2012,5,59,199,107,0.551401869
BIHAW,535,2012,6,110,196,172,0.639534884
BIHAW,535,2012,7,47,147,153,0.307189542
BIHAW,535,2012,8,122,207,205,0.595121951
BIHAW,535,2012,9,129,274,218,0.591743119
BIHAW,535,2012,10,122,140,246,0.495934959
BIHAW,535,2012,11,25,51,206,0.121359223
BIHAW,535,2012,12,94,182,194,0.484536082
BIHAW,535,2013,1,157,207,219,0.716894977
BIHAW,535,2013,2,243,366,342,0.7105263159999999
BIHAW,535,2013,3,41,49,345,0.11884058
BIHAW,535,2013,4,363,577,488,0.7438524590000001
BIHAW,535,2013,5,200,342,459,0.435729847
BIHAW,535,2013,6,163,219,531,0.306967985
BIHAW,535,2013,7,139,202,393,0.35368956700000004
BIHAW,535,2013,8,218,261,390,0.558974359
BIHAW,535,2013,9,278,322,417,0.666666667
BIHAW,535,2013,10,250,305,432,0.5787037039999999
BIHAW,535,2013,11,313,357,484,0.646694215
BIHAW,535,2013,12,296,328,471,0.6284501060000001
BIHAW,547,2011,4,152,242,157,0.968152866
BIHAW,547,2011,5,156,255,158,0.987341772
BIHAW,547,2011,6,129,227,157,0.8216560509999999
BIHAW,547,2011,7,148,189,158,0.936708861
BIHAW,547,2011,8,152,205,159,0.955974843
BIHAW,547,2011,9,154,239,159,0.968553459
BIHAW,547,2011,10,151,276,160,0.94375
BIHAW,547,2011,11,152,195,160,0.95
BIHAW,547,2011,12,155,246,160,0.96875
BIHAW,547,2012,1,133,203,159,0.836477987
BIHAW,547,2012,2,160,213,160,1.0
BIHAW,547,2012,3,161,181,161,1.0
BIHAW,547,2012,4,162,358,162,1.0
BIHAW,547,2012,5,160,280,162,0.987654321
BIHAW,547,2012,6,150,263,162,0.925925926
BIHAW,547,2012,7,161,268,161,1.0
BIHAW,547,2012,8,152,380,161,0.944099379
BIHAW,547,2012,9,124,295,161,0.770186335
BIHAW,547,2012,10,155,416,159,0.974842767
BIHAW,547,2012,11,133,394,159,0.836477987
BIHAW,547,2012,12,144,504,159,0.905660377
BIHAW,547,2013,1,161,476,161,1.0
BIHAW,547,2013,2,158,687,162,0.975308642
BIHAW,547,2013,3,159,397,162,0.981481481
BIHAW,547,2013,4,159,634,162,0.981481481
BIHAW,547,2013,5,160,736,162,0.987654321
BIHAW,547,2013,6,160,589,160,1.0
BIHAW,547,2013,7,161,567,161,1.0
BIHAW,547,2013,8,161,666,162,0.99382716
BIHAW,547,2013,9,161,667,162,0.99382716
BIHAW,547,2013,10,161,631,161,1.0
BIHAW,547,2013,11,162,728,162,1.0
BIHAW,547,2013,12,161,660,162,0.99382716
BIHAW,566,2011,4,180,450,196,0.918367347
BIHAW,566,2011,5,180,396,195,0.923076923
BIHAW,566,2011,6,183,391,199,0.91959799
BIHAW,566,2011,7,169,323,200,0.845
BIHAW,566,2011,8,185,341,201,0.92039801
BIHAW,566,2011,9,166,367,197,0.8426395940000001
BIHAW,566,2011,10,171,405,198,0.8636363640000001
BIHAW,566,2011,11,180,424,196,0.918367347
BIHAW,566,2011,12,193,468,204,0.946078431
BIHAW,566,2012,1,178,426,203,0.8768472909999999
BIHAW,566,2012,2,188,397,202,0.930693069
BIHAW,566,2012,3,115,188,199,0.577889447
BIHAW,566,2012,4,197,478,201,0.980099502
BIHAW,566,2012,5,190,473,203,0.935960591
BIHAW,566,2012,6,179,405,205,0.8731707320000001
BIHAW,566,2012,7,199,537,203,0.980295567
BIHAW,566,2012,8,185,319,203,0.911330049
BIHAW,566,2012,9,23,30,203,0.113300493
BIHAW,746,2011,4,52,91,54,0.962962963
BIHAW,746,2011,5,188,223,199,0.944723618
BIHAW,746,2011,6,167,240,206,0.810679612
BIHAW,746,2011,7,212,345,213,0.995305164
BIHAW,746,2011,8,183,326,214,0.855140187
BIHAW,746,2011,9,208,331,214,0.971962617
BIHAW,746,2011,10,212,457,214,0.990654206
BIHAW,746,2011,11,178,343,214,0.831775701
BIHAW,746,2011,12,207,382,212,0.976415094
BIHAW,746,2012,1,175,259,211,0.8293838859999999
