customer_code,year,month,reason_code_description_new_new,order_qty_in_cases,allocated_qty_in_cases,non_allocated_qty_in_cases,simple avg allocated percent,simple avg allocated value percent,allocated_value,total_order_value
1896,2013,10,NOTINV,5.0,0.0,5.0,0.0,0.0,0.0,20102.4
303,2013,10,NOTINV,3.0,0.0,3.0,0.0,0.0,0.0,8254.8
1997,2013,10,STONOTAVA,18.03,0.0,18.03,0.0,0.0,0.0,59108.08
236,2013,10,STONOTAVA,21.0,0.0,21.0,0.0,0.0,0.0,66842.52
1590,2013,10,NOTINV,0.12,0.0,0.12,0.0,0.0,0.0,219.84
121,2013,10,NOTINV,2.0,0.0,2.0,0.0,0.0,0.0,6640.32
1102,2013,10,STONOTAVA,7.15,0.0,7.15,0.0,0.0,0.0,17548.1
1820,2013,10,OTHE,22.61,0.0,22.61,0.0,0.0,0.0,58482.86
8,2013,10,NOTINV,1.0,0.0,1.0,0.0,0.0,0.0,6241.2
1020,2013,10,STONOTAVA,27.34,0.0,27.34,0.0,0.0,0.0,54843.29
1475,2013,10,STONOTAVA,14.0,0.0,14.0,0.0,0.0,0.0,46115.64
331,2013,10,STONOTAVA,5.03,0.0,5.03,0.0,0.0,0.0,15712.96
326,2013,10,NOTINV,3.0,0.0,3.0,0.0,0.0,0.0,9273.6
2722,2013,10,STONOTAVA,5.79,0.0,5.79,0.0,0.0,0.0,27408.83
2687,2013,10,CREISS,105.63,0.0,105.63,0.0,0.0,0.0,284933.52
2588,2013,10,STONOTAVA,17.34,0.0,17.34,0.0,0.0,0.0,51262.66
181,2013,10,STONOTAVA,12.55,0.0,12.55,0.0,0.0,0.0,30178.98
2015,2013,10,STONOTAVA,2.0,0.0,2.0,0.0,0.0,0.0,4485.84
2560,2013,10,STONOTAVA,8.08,0.0,8.08,0.0,0.0,0.0,36583.52
2215,2013,10,OTHE,1.0,0.0,1.0,0.0,0.0,0.0,6360.8
1238,2013,10,STONOTAVA,16.54,0.0,16.54,0.0,0.0,0.0,38817.69
2752,2013,10,CREISS,30.0,0.0,30.0,0.0,0.0,0.0,127403.57
1002,2013,10,STONOTAVA,67.33,0.0,67.33,0.0,0.0,0.0,160819.08
232,2013,10,NOTINV,3.0,0.0,3.0,0.0,0.0,0.0,3749.36
65,2013,10,STONOTAVA,14.0,0.0,14.0,0.0,0.0,0.0,61802.24
1952,2013,10,STONOTAVA,4.0,0.0,4.0,0.0,0.0,0.0,14698.52
2192,2013,10,CREISS,7.0,0.0,7.0,0.0,0.0,0.0,28103.04
2255,2013,10,STONOTAVA,8.0,0.0,8.0,0.0,0.0,0.0,28220.88
334,2013,10,OTHE,1.0,0.0,1.0,0.0,0.0,0.0,3434.4
1206,2013,10,STONOTAVA,2.0,0.0,2.0,0.0,0.0,0.0,4936.86
2195,2013,10,STONOTAVA,30.0,0.0,30.0,0.0,0.0,0.0,79971.6
296,2013,10,STONOTAVA,8.0,0.0,8.0,0.0,0.0,0.0,21216.06
1936,2013,10,STONOTAVA,5.0,0.0,5.0,0.0,0.0,0.0,13168.56
1549,2013,10,STONOTAVA,2.8,0.0,2.8,0.0,0.0,0.0,9506.16
1306,2013,10,CREISS,377.67,0.0,377.67,0.0,0.0,0.0,1128291.32
227,2013,10,NOTINV,1.0,0.0,1.0,0.0,0.0,0.0,4864.32
2010,2013,10,STONOTAVA,6.33,0.0,6.33,0.0,0.0,0.0,12842.88
62,2013,10,STONOTAVA,6.0,0.0,6.0,0.0,0.0,0.0,17481.54
294,2013,10,STONOTAVA,12.0,0.0,12.0,0.0,0.0,0.0,33566.4
341,2013,10,STONOTAVA,3.0,0.0,3.0,0.0,0.0,0.0,5478.68
619,2013,10,NOTINV,11.0,0.0,11.0,0.0,0.0,0.0,24971.0
97,2013,10,STONOTAVA,3.0,0.0,3.0,0.0,0.0,0.0,7257.36
123,2013,10,STONOTAVA,95.0,0.0,95.0,0.0,0.0,0.0,434578.61
629,2013,10,STONOTAVA,6.15,0.0,6.15,0.0,0.0,0.0,34363.95
1228,2013,10,STONOTAVA,31.0,0.0,31.0,0.0,0.0,0.0,138525.28
2082,2013,10,STONOTAVA,19.0,0.0,19.0,0.0,0.0,0.0,97821.6
418,2013,10,OTHE,2.0,0.0,2.0,0.0,0.0,0.0,7176.0
2144,2013,10,STONOTAVA,30.04,0.0,30.04,0.0,0.0,0.0,77294.6
2343,2013,10,CREISS,67.51,0.0,67.51,0.0,0.0,0.0,266953.14
1085,2013,10,STONOTAVA,113.05,0.0,113.05,0.0,0.0,0.0,446189.58
332,2013,10,CREISS,59.18,0.0,59.18,0.0,0.0,0.0,247492.35
1810,2013,10,STONOTAVA,15.6,0.0,15.6,0.0,0.0,0.0,56244.48
2357,2013,10,STONOTAVA,10.0,0.0,10.0,0.0,0.0,0.0,32878.47
2112,2013,10,CREISS,14.0,0.0,14.0,0.0,0.0,0.0,43199.96
418,2013,10,STONOTAVA,63.33,0.0,63.33,0.0,0.0,0.0,164794.64
448,2013,10,STONOTAVA,14.38,0.0,14.38,0.0,0.0,0.0,48737.13
1756,2013,10,CREISS,309.55,0.0,309.55,0.0,0.0,0.0,1161671.45
2739,2013,10,STONOTAVA,7.0,0.0,7.0,0.0,0.0,0.0,23608.84
2227,2013,10,NOTINV,51.84,0.0,51.84,0.0,0.0,0.0,182995.04
2432,2013,10,STONOTAVA,5.5,0.0,5.5,0.0,0.0,0.0,14281.91
105,2013,10,NOTINV,4.6,0.0,4.6,0.0,0.0,0.0,15896.58
1916,2013,10,STONOTAVA,5.13,0.0,5.13,0.0,0.0,0.0,12178.89
1021,2013,10,CREISS,357.22,0.0,357.22,0.0,0.0,0.0,1337864.23
1419,2013,10,CREISS,36.0,0.0,36.0,0.0,0.0,0.0,144024.04
383,2013,10,STONOTAVA,21.0,0.0,21.0,0.0,0.0,0.0,61804.26
2144,2013,10,OTHE,3.0,0.0,3.0,0.0,0.0,0.0,3888.46
1139,2013,10,NOTINV,5.0,0.0,5.0,0.0,0.0,0.0,6655.12
2219,2013,4,OTHE,6.22,0.0,6.22,0.0,0.0,0.0,31971.6
2036,2013,4,MOQNOTMET,2.49,0.0,2.49,0.0,0.0,0.0,10841.64
1722,2013,4,CREISS,20.0,0.0,20.0,0.0,0.0,0.0,65187.1
85,2013,4,NOTINV,3.0,0.0,3.0,0.0,0.0,0.0,3893.76
2229,2013,4,CREISS,0.06,0.0,0.06,0.0,0.0,0.0,223.29
1806,2013,4,STONOTAVA,5.0,0.0,5.0,0.0,0.0,0.0,13187.77
2217,2013,4,STONOTAVA,4.0,0.0,4.0,0.0,0.0,0.0,10832.8
2479,2013,4,CREISS,156.0,0.0,156.0,0.0,0.0,0.0,548851.54
1710,2013,4,CREISS,285.5,0.0,285.5,0.0,0.0,0.0,714143.46
1513,2013,4,OTHE,2.0,0.0,2.0,0.0,0.0,0.0,7460.64
385,2013,4,NOTINV,450.0,0.0,450.0,0.0,0.0,0.0,1579392.0
1203,2013,4,NOTINV,2.0,0.0,2.0,0.0,0.0,0.0,16531.2
2336,2013,4,OTHE,1.0,0.0,1.0,0.0,0.0,0.0,1894.08
1085,2011,9,NOTINV,2.0,0.0,2.0,0.0,0.0,0.0,4640.4
530,2011,9,CREISS,70.0,0.0,70.0,0.0,0.0,0.0,308424.84
729,2011,9,OTHE,10.0,0.0,10.0,0.0,0.0,0.0,27599.36
1823,2011,9,NOTINV,428.4,0.0,428.4,0.0,0.0,0.0,921117.12
269,2011,9,NOTINV,11.5,0.0,11.5,0.0,0.0,0.0,134530.68
277,2011,9,CREISS,17.0,0.0,17.0,0.0,0.0,0.0,57469.76
605,2011,9,STONOTAVA,6.0,0.0,6.0,0.0,0.0,0.0,25643.64
1343,2011,9,NOTINV,9.0,0.0,9.0,0.0,0.0,0.0,39982.32
470,2013,10,STONOTAVA,18.2,0.0,18.2,0.0,0.0,0.0,63427.02
1043,2013,10,STONOTAVA,10.0,0.0,10.0,0.0,0.0,0.0,29692.4
2008,2013,10,CREISS,71.03,0.0,71.03,0.0,0.0,0.0,265418.37
25,2013,10,NOTINV,18.0,0.0,18.0,0.0,0.0,0.0,72787.84
944,2013,10,STONOTAVA,2.0,0.0,2.0,0.0,0.0,0.0,7769.82
2486,2013,10,NOTINV,5.0,0.0,5.0,0.0,0.0,0.0,10629.52
261,2013,10,STONOTAVA,6.0,0.0,6.0,0.0,0.0,0.0,22899.0
217,2013,10,CREISS,191.0,0.0,191.0,0.0,0.0,0.0,719648.76
2321,2013,10,STONOTAVA,4.66,0.0,4.66,0.0,0.0,0.0,15098.1
1676,2013,10,NOTINV,0.99,0.0,0.99,0.0,0.0,0.0,1361.76
1428,2013,10,NOTINV,1.0,0.0,1.0,0.0,0.0,0.0,4870.08
18,2013,10,CREISS,64.0,0.0,64.0,0.0,0.0,0.0,171806.18
61,2013,10,OTHE,2.0,0.0,2.0,0.0,0.0,0.0,6868.8
427,2013,10,STONOTAVA,9.13,0.0,9.13,0.0,0.0,0.0,26600.52
1690,2013,10,NOTINV,2.0,0.0,2.0,0.0,0.0,0.0,2374.72
272,2013,10,STONOTAVA,121.37,0.0,121.37,0.0,0.0,0.0,470958.02
127,2013,10,STONOTAVA,67.0,0.0,67.0,0.0,0.0,0.0,254179.66
2353,2013,10,STONOTAVA,53.0,0.0,53.0,0.0,0.0,0.0,168038.82
535,2013,10,STONOTAVA,33.73,0.0,33.73,0.0,0.0,0.0,160325.3
1491,2013,10,STONOTAVA,6.41,0.0,6.41,0.0,0.0,0.0,17771.52
2316,2013,10,STONOTAVA,1.03,0.0,1.03,0.0,0.0,0.0,2950.78
2465,2013,10,STONOTAVA,17.2,0.0,17.2,0.0,0.0,0.0,53062.98
2505,2013,10,STONOTAVA,20.06,0.0,20.06,0.0,0.0,0.0,62180.61
1893,2013,10,STONOTAVA,20.0,0.0,20.0,0.0,0.0,0.0,27140.32
11,2013,10,STONOTAVA,18.0,0.0,18.0,0.0,0.0,0.0,50465.16
59,2013,10,NOTINV,3.0,0.0,3.0,0.0,0.0,0.0,3649.12
60,2013,10,NOTINV,4.0,0.0,4.0,0.0,0.0,0.0,4749.44
382,2013,10,NOTINV,6.0,0.0,6.0,0.0,0.0,0.0,7116.48
334,2013,10,STONOTAVA,4.0,0.0,4.0,0.0,0.0,0.0,12868.8
338,2013,10,STONOTAVA,2.0,0.0,2.0,0.0,0.0,0.0,4244.4
237,2013,10,OTHE,1.0,0.0,1.0,0.0,0.0,0.0,3000.3
958,2013,10,STONOTAVA,21.0,0.0,21.0,0.0,0.0,0.0,87301.26
1089,2013,10,STONOTAVA,10.0,0.0,10.0,0.0,0.0,0.0,34532.64
586,2013,10,STONOTAVA,4.0,0.0,4.0,0.0,0.0,0.0,7221.6
1779,2013,10,STONOTAVA,15.08,0.0,15.08,0.0,0.0,0.0,96134.56
